name;description;inferred_stereotype
Logic;The system or principles of reasoning applicable to any branch of knowledge or study.;kind
MentalProposition;A proposition that is entertained or considered by the mind.;subkind
SemanticallySimple Expression;An expression with a straightforward and unambiguous meaning.;subkind
Suppositum;The object of a supposition.;kind
Convention;A way in which something is usually done, especially within a particular area or activity.;kind
ProperSense;The literal or primary meaning of a term.;subkind
Term;A word or phrase used to describe a thing or to express a concept, especially in a particular kind of language or branch of study.;kind
PersonalSupposition;A type of supposition where a term stands for a particular individual or object.;subkind
LawOfReasoning;A fundamental principle of logic that governs valid inference.;kind
Similarity;The state or fact of being similar.;quality
Science;The intellectual and practical activity encompassing the systematic study of the structure and behavior of the physical and natural world through observation and experiment.;kind
Interpretation;The action of explaining the meaning of something.;kind
SemanticallySimple;Having a straightforward and unambiguous meaning.;quality
CategorematicTerm;A term that can stand alone as the subject or predicate of a proposition.;subkind
SimpleSupposition;A type of supposition where a term stands for a universal concept or category.;subkind
SemanticallyComplexExpression;An expression that has a complex or layered meaning.;subkind

Discontinued Ship Type;A type of ship that is no longer being produced.;phaseMixin
Publisher;A person or company that prepares and issues books, journals, music, or other works for sale.;role
Permanent;Lasting or intended to last or remain unchanged indefinitely.;quality
License Holder;An individual or entity that holds a license.;roleMixin
Commissioned; (of a work of art) Produced by request and at the expense of a particular patron.;phaseMixin
Public Domain Work;A creative work that is not protected by copyright and is freely available for use.;subkind
Copyrighted Work;A creative work that is protected by copyright law.;subkind
Licensed Ship Type;A specific type of ship that requires a license to operate.;subkind
Ship Type;A classification or category of ships based on their characteristics, purpose, or design.;kind
Licensing;The act of granting a license.;relator
Writer;A person who writes books, stories, or articles as a profession or regular occupation.;role
Decommissioned; (of a ship or aircraft) Officially taken out of service.;phaseMixin
Sculptor;An artist who makes sculptures.;role
Author;A person who writes books, stories, or articles, especially as a profession or regular occupation.;role
Golden Eagle;A large, powerful eagle with a wingspan of up to 2.3 m, dark brown plumage, and a golden head and nape.;subkind
Captain License;A license that authorizes the holder to act as the captain of a ship.;subkind
Bird Species;A group of birds that are closely related and can breed with each other.;subkind
Person;A human being regarded as an individual.;kind
Captain;A person in command of a ship.;role

Merged_1;This term seems ambiguous without further context. It could refer to a state resulting from merging other entities or a specific type of merging. Please provide more information.
Idea Comment;A comment specifically related to an idea.;subkind
Accepted;A state signifying an idea or submission has been positively reviewed and approved.;phase
Describee;The entity that is being described. This might be too generic without context. Consider if a 'Description' relator wouldn't be more suitable.
Review Category;A category or classification for reviews.;subkind
Idea Category;A category or classification for ideas.;subkind
Idea Relationship;A relationship between two ideas. This is too broad. Specify the nature of the relationship for a more precise stereotype.
Creation;The act of bringing something new into existence.;relator
User Group;A group of users.;collective
Commented Contest;A contest that has received comments. This is likely an unnecessary distinction as most systems allow commenting on contests.
User with Comment;"A user who has made a comment. This is redundant; a Participation relator between User and Comment would suffice."
Submitting User;A user who submits something.  Use a Participation relator to indicate the submission action.
Authorization;The act of granting permission or authority.;relator
Idea;A thought or suggestion as to a possible course of action.;kind
Contest with Access Authorization;A contest that has access authorization. Use a relator like 'hasAuthorization' to model this.
Submited by Method;Unclear without more context. Likely a relator indicating how something is submitted.
Merged;A state indicating entities have been combined. Consider using a relator to capture the act of merging.;phase
Idea Updater User;A user who updates ideas. Use Participation relator to link user to update action.
Category;A class or division of people or things regarded as having particular shared characteristics.;subkind
Updated Idea;An idea that has been updated. This is redundant, an Idea can have a state of being 'updated'.
Idea with a Comment;Redundant, as with 'User with Comment'.
Edited;A state of having been corrected or modified.;phase
Describes Part;Potentially a relator, but unclear without context. Does one entity describe a part of another?
Textual Review;A review in textual form.;subkind
User with Idea Contest Comment;Overly specific. Participation relators can model users commenting on specific contests.
Idea Contest Attachment;An attachment associated with an idea contest.;kind
Similar Idea;Redundant. Model similarity relationships between Ideas with a dedicated relator.
Related Idea;Too vague.  Needs a specific relator to explain the type of relationship.
User Editor;A user who edits content. Again, use Participation for the editing action.
Partially Implemented;A state indicating partial implementation.;phase
User with Account;"Redundant; Account Ownership relator is more appropriate."
Online Account;An account for accessing online services.;kind
Submission;The act of submitting something, such as an idea or a proposal.;relator
Submitted Idea;An idea that has been submitted.;phase
Idea Attachment;An attachment associated with an idea.;kind
Similaree;Likely a misspelling of 'Similarity', which is best modeled as a relator.
Metric;A system or standard of measurement.;kind
Contest with Idea;Redundant. Contests inherently involve ideas.
Updated Contest;A contest that has been updated.;phase
Revised Idea;An idea that has been revised.;phase
Relatee;Unclear without more context.  Likely an entity involved in a relationship.
Rejected;A state indicating something has not been accepted.;phase
Described;A state of having been described. Use a relator to indicate what is describing what.;phase
Access Authorized Group;A group that has been granted access authorization.;role
Merging;The act of combining two or more things into one.;relator
Deployed;A state where something has been made available for use.;phase
Implemented;A state where something has been put into effect.;phase
Rating Review;A review that includes a rating.;subkind
SubCategory;A category that is a subdivision of a larger category.;subkind
User Group in a Group;"Redundant; implies hierarchical groups, model with a 'subgroupOf' relator."
Similarity;The state or fact of being similar.;relator
Submission Method;A method used for submitting something.;kind
User;A person who uses a computer or network service.;kind
MinMax Rating Range;A rating range defined by minimum and maximum values.;kind
Review;A formal assessment or examination of something.;kind
Account Ownership;The state of owning an account.;relator
Write Authorization;Permission to write or modify data.;role
Update Idea;The action of updating an idea. Use 'Update' as a relator connected to Idea.
User in a Group;"Redundant; 'memberOf' relator indicates this relationship."
Idea Contest;A contest where people submit ideas.;subkind
Read Authorization;Permission to read data.;role
Review Rating;A rating associated with a review.;kind
Rating Range;The range of possible values for a rating.;kind
Draft;A preliminary version of a piece of writing.;phase
Up Down Rating Range;Unclear, likely a rating range with up/down voting mechanics.;kind
Reviewer;A person who conducts a review.;role

Visual components;The visual elements that make up a brand's identity, such as its logo, color palette, and typography.;collective
Communication;The process of conveying information and ideas between a brand and its stakeholders.;relator
Image;The general impression or perception of a brand held by the public.;quality
External stakeholders;Individuals or groups outside a company that are affected by or can affect its actions, like customers, suppliers, or the community.;role
Identity;The visible elements of a brand, such as color, design, and logo, that distinguish and identify the brand in consumers' minds.;kind
Environmental Influences;External factors that can impact a brand's image and perception, such as economic trends or social movements.;collective
Expression;The way a brand communicates and interacts with its audience, including tone of voice, visual style, and messaging.;mode
Customer reflection;How customers perceive and feel about a brand, based on their interactions and experiences.;quality
Positioning;The place a brand occupies in the minds of its target audience relative to competitors.;situation
Behaviors;The actions and conduct of a brand, its employees, and representatives.;collective
Values;The core principles and beliefs that guide a brand's decisions and actions.;collective
Reputation;The overall estimation or assessment of a brand based on its past performance, behavior, and communication.;quality
Personality;The human characteristics and traits attributed to a brand, such as friendly, trustworthy, or innovative.;quality
Employees;Individuals who work for a brand and represent it to stakeholders.;role
Structure;The organizational framework of a brand, including its hierarchy, departments, and internal processes.;kind
Desired Image;The specific impression or perception a brand aspires to create in the minds of its target audience.;situation
Customers;Individuals who purchase and use a brand's products or services.;role
Internal stakeholders;Individuals or groups within a company, such as employees, managers, or owners.;role
Mission;A concise statement outlining a brand's purpose and what it aims to achieve.;kind
Stakeholders;Individuals or groups who have an interest in or are affected by a brand's activities.;role
Essence;The fundamental nature or core characteristics that define a brand's identity.;quality
Presentation;The way a brand presents itself to the public, including its visual identity, messaging, and communication style.;mode
Official stakeholders;Stakeholders who have a formal or legal relationship with a brand, such as investors, regulators, or government agencies.;role
Brand heritage;The history, values, and stories associated with a brand over time.;collective
Value Proposition;The unique benefits and value a brand offers to its customers compared to competitors.;kind
Culture;The shared values, beliefs, and norms that shape the behavior of individuals within a brand's internal and external communities.;collective
Vision;A long-term aspirational view of what a brand aims to become and achieve.;situation
Aims and goals;The specific objectives a brand sets out to accomplish, often aligned with its mission and vision.;collective
Perceived image (Perception);The subjective understanding or interpretation of a brand by an individual or group.;quality
Noise;External factors that can distort or interfere with a brand's intended message, such as competing messages, distractions, or misunderstandings.;kind

Work Contract;A legally binding agreement between an employer and an employee outlining the terms and conditions of employment.;kind
Work;Activity involving mental or physical effort done in order to achieve a purpose or result.;event
Man;An adult male human being.;subkind
Library;A building or room containing collections of books, periodicals, and sometimes films and recorded music for people to read, borrow, or refer to.;kind
Undamaged;"Not harmed or impaired in any way; not damaged.";quality
Publisher;A person or company that prepares and issues books, journals, music, or other works for sale.;role
Edition;A particular form or version of a published text.;subkind
Writer;A person who writes books, stories, or articles as a job or regular occupation.;role
Library Card;A card issued by a library that identifies the holder as entitled to borrow books.;kind
Damaged;Physically harmed or injured.;quality
Active Account;An account that is currently in use and accessible.;phase
Woman;An adult female human being.;subkind
Newspaper;A printed publication (usually issued daily or weekly) consisting of folded unstapled sheets and containing news, articles, advertisements, and correspondence.;kind
Access Clearance;Authorization to access certain information or areas.;kind
Person;A human being regarded as an individual.;kind
Video Recording;A recording of moving visual images made digitally or on videotape.;kind
Librarian;A person who works in a library, especially a professional trained in library science.;role
Employee;A person employed for wages or salary, especially at nonexecutive level.;role
Discarded;Get rid of (someone or something) as no longer useful or desirable.;phase
Borrowed;Take and use (something that belongs to someone else) with the intention of returning it.;phase
Address;The particulars of the place where someone lives or an organization is situated.;kind
Chapter;A main division of a book.;subkind
Lent Copy;A copy of a book that has been lent out by a library.;role
Translation;The process of translating words or text from one language into another.;kind
Library Number;A unique number assigned to each item in a library's collection.;kind
Sound Recording;A recording of sound vibrations, such as spoken words, music, and sound effects, made on a magnetic tape or, more recently, a compact disc.;kind
Ongoing;"Continuing; still in progress.";phase
Registered Person;A person who is officially registered with an organization or system.;role
Object;A material thing that can be seen and touched.;category
Copy;A thing made to be similar or identical to another.;kind
Digitized;Convert (pictures or sound) into a digital form that can be processed by a computer.;phase
Finished;"Brought to an end; completed.";phase
Artifact;An object made by a human being, typically an item of cultural or historical interest.;kind
Publication;The preparation and issuing of a book, journal, piece of music, or other work for public sale.;kind
Recording;A sound or video recording.;kind
Loan;A thing that is borrowed, especially a sum of money that is expected to be paid back with interest.;kind
Patent;A government authority or license conferring a right or title for a set period, especially the sole right to exclude others from making, using, or selling an invention.;kind
Client;A person or organization using the services of a lawyer or other professional person or company.;role
Registered Organization;An organization that is officially registered with a government or other authority.;role
Organization;An organized group of people with a particular purpose, such as a business or government department.;kind
Data Medium;A physical object or device used to store data.;kind
Registration;The action or process of registering or of being registered.;kind
Suspended Account;An account that has been temporarily made inactive.;phase
Document;A piece of written, printed, or electronic matter that provides information or evidence or that serves as an official record.;kind
Article;A piece of writing included with others in a newspaper, magazine, or other publication.;subkind
Series;A number of events, objects, or people of a similar or related kind coming one after another.;collective
Destroyed;Put an end to the existence of (something) by damaging or attacking it so badly that it cannot be repaired.;phase
Translated Edition;An edition of a book that has been translated into another language.;subkind
Age;The length of time that a person has lived or a thing has existed.;quantity
Library Account;An account that allows a person to borrow materials from a library.;kind
Authorship;The state or fact of being the writer of a book, article, or other work.;relator
Proceedings;An event or a series of activities involving a formal or set procedure.;kind
Book;A written or printed work consisting of pages glued or sewn together along one side and bound in covers.;kind
Translator;A person who translates from one language into another, especially as a profession.;role
Available;"Able to be used or obtained; at someone's disposal.";quality

Technician;A person who specializes in the technical details of a particular subject or job.;role
Database File;A file that stores data in a structured format that can be accessed by a database management system (DBMS).;subkind
Communication Module;A hardware or software component that enables communication between different parts of a system or between different systems.;roleMixin
Channel;A medium through which data is transmitted.;kind
Defective Disk;A disk that is not functioning properly.;phase
Defective Module;A module that is not functioning properly.;phase
Database;An organized collection of structured information, typically stored electronically.;kind
Email;A system for sending and receiving messages electronically over a computer network.;kind
LAN;Local Area Network - A network that connects computers within a limited area such as a home, school, or office building.;subkind
Person;A human being.;kind
DBMS;Database Management System - A software application that interacts with end-users, applications, and the database itself to capture and analyze data.;kind
Storage;The action or method of storing something for future use.;kind
Communication Port;A physical interface on a computer or device that is used for communication with other devices.;kind
Executable File;A file that contains a program that can be run by a computer.;subkind
Switch-core;A network switch that is responsible for handling the core traffic of a network.;role
Data Center;A facility used to house computer systems and associated components.;kind
MAN;Metropolitan Area Network - A network that connects computers within a larger geographic area than a LAN, but smaller than a WAN.;subkind
WAN;Wide Area Network - A network that connects computers over a large geographic area, such as a state, country, or the world.;subkind
Manager;A person responsible for controlling or administering an organization or group of staff.;role
IT Team;A group of people who are responsible for the information technology of an organization.;collective
Conventional File;A file that is not a database file or an executable file.;subkind
Functional Module;A module that performs a specific function.;roleMixin
IT Service;A service that is provided by an IT department.;kind
Application System;A system that consists of one or more computer programs and associated data that are used to perform a specific task.;kind
10 Gbps Port;A communication port that is capable of transmitting data at a rate of 10 gigabits per second.;subkind
1 Gbps Port;A communication port that is capable of transmitting data at a rate of 1 gigabit per second.;subkind
Disk;A storage device that uses magnetic storage to store and retrieve digital data.;kind
Mailbox;A container for receiving, holding, or delivering mail.;kind
Functional Disk;A disk that is in working order.;phase
Server;A computer or program that provides services to other computers or programs, typically over a network.;role
File in Disk;A file that is stored on a disk.;role

Witness;An individual who has firsthand knowledge of a crime or event relevant to a criminal investigation.;role
Criminal Investigation;A systematic process carried out by law enforcement to gather evidence and establish facts in order to identify and apprehend perpetrators of crimes.;kind
Superintendent;A high-ranking police officer typically responsible for overseeing major investigations or commanding a division within a police force.;role
Senior Detective;An experienced detective with a higher rank and often specialized knowledge, responsible for complex or high-profile cases.;role
Detective;A law enforcement officer, typically plain-clothed, responsible for investigating crimes, gathering evidence, and apprehending suspects.;role
Person;A human being.;kind
Junior Detective;A detective at the beginning of their career, typically assisting senior detectives in investigations.;role
Lead Detective;The detective primarily responsible for leading and coordinating a specific investigation.;role
Suspect;A person believed to be potentially involved in a crime.;role
Interrogation;Formal questioning carried out by law enforcement with the goal of obtaining a confession or acquiring information from a suspect.;kind

Restricted Data Accessibility Requirements;Specific conditions and rules that govern access to sensitive or controlled data.;kind
Rich Provenance Metadata;Comprehensive and detailed metadata that captures the complete history and origin of data.;subkind
Data;Raw, unorganized facts, figures, and symbols. Represents the fundamental concept of information.;kind
Self-Explanatory Attribute Key;An attribute key that is inherently understandable and provides information about the data it describes without needing further explanation.;subkind
Qualified Attribute Item;A data item that has been assessed and deemed to meet specific quality standards or criteria.;role
Reusable Data;Data designed and made available for use in different contexts and applications beyond its original purpose.;subkind
Data Access Protocol;A defined set of rules and procedures that govern how data is accessed by users or systems.;kind
Identification Service;A service that provides unique identification to entities, allowing them to be distinguished and referenced unambiguously.;kind
Data Model;An abstract representation of data structures and relationships within a specific domain.;kind
Data Accessibility Requirements;Conditions and criteria that need to be met to ensure that data is accessible to authorized users.;kind
Registration/Indexing;The process of recording and organizing data or resources to make them easily discoverable and retrievable.;kind
Data with Restricted Access;Data subject to limitations and controls on who can access, use, and disclose it.;subkind
Community;A group of individuals or organizations with shared interests, goals, or characteristics.;kind
Data Usage License;A legal agreement that grants specific rights and permissions for the use, sharing, and distribution of data.;kind
Provenance Metadata;Data that describes the origin, history, and transformations of a dataset.;kind
Rich Provenance Metadata Item Attribute;Specific characteristics or properties of a data item within a rich provenance metadata record.;subkind
Explained Attribute Key;An attribute key accompanied by clear and concise definitions or explanations to ensure proper understanding and interpretation.;subkind
Metadata;Data that provides information about other data. It describes the characteristics of data, such as its structure, content, and context.;kind
Resource;A source of information or assets that can be accessed and utilized. In the context of data management, a resource could refer to datasets, databases, or other data-related entities.;kind
ID Registration;The act of registering and managing unique identifiers for entities or resources.;kind
Open Data;Data that is freely available for use, reuse, and redistribution without restrictions.;subkind
Community Standard;Guidelines, specifications, or best practices that are established and widely accepted within a specific community.;kind
Attribute Key;A label or identifier that represents a specific property or characteristic of data.;kind
Protocol;A set of established rules or procedures that govern the format and transmission of data between systems.;kind
Data Item;A single unit or piece of information within a dataset. It represents a specific value or observation.;kind
Attribute Value;The specific data value associated with an attribute key. It represents the actual measurement or observation for that characteristic.;kind
Metadata Item Attribute;Specific characteristics or properties associated with a metadata item, providing further details about the data it describes.;subkind
Authorization Protocol;A set of rules and procedures for verifying the identity and permissions of users or systems requesting access to resources.;subkind
Rich Metadata;Metadata that goes beyond basic descriptive information and includes detailed annotations, relationships, and context.;subkind
Searchable Data;Data that is structured and indexed in a way that enables efficient searching and retrieval.;subkind
Authentication Protocol;A standardized process used to verify the identity of a user or system attempting to access a system or resource.;subkind
Searchable Resource;A resource that can be easily searched to locate specific information or content.;subkind
Accessible Data;Data that can be easily obtained, understood, and used by individuals or systems.;subkind
Representation Language;A formal language or system used for expressing and representing data, knowledge, or information.;kind
ID;A unique identifier assigned to an entity or resource for the purpose of identification and differentiation.;kind
Data Entity;A distinct and identifiable unit of data that represents a real-world object, concept, or event.;kind
Intrinsic Attribute Value;A data value that is an inherent property of the entity it describes and does not depend on external factors or relationships.;subkind
Data ID;A unique identifier assigned to a specific dataset or data object.;subkind
Metadata Item;A single, distinct element or piece of information within a metadata record.;kind
Data Item ID;A unique identifier for a specific data item, allowing it to be referenced and tracked.;subkind
Rich Metadata Item Attribute;Specific properties or characteristics of a data item within a rich metadata context.;subkind
Community Consensus;A general agreement or understanding reached by members of a community.;kind
Attribute;A named property or characteristic of an entity that describes its state, features, or qualities.;kind
Extrinsic Attribute Value;A data value that is not inherent to the entity itself but is derived from its relationships or interactions with external factors.;subkind

Channel;A medium through which messages or signals are transmitted.;subkind
SpeedControl;The process or system for controlling the speed of something, likely the train in this context.;kind
Place;A particular position or point in space.;category
Dispatcher;A person or system that controls the movement or routing of trains.;role
SDU;Potentially 'Speed/Distance Unit' - A device on the train that processes speed and distance information.;roleMixin
Speed/Distance Message;A message containing information about speed and distance, likely related to train control.;subkind
Wireless Network;A network that uses wireless communication to connect devices.;kind
MA with TSR;Unclear without further context. Potentially 'Moving Authority with Temporary Speed Restriction'.
Sensor;A device that detects or measures a physical property and records, indicates, or otherwise responds to it.;kind
Controller;A device or system that controls the operation of a machine or process.;role
Transportation;The act of transporting someone or something or the process of being transported.;kind
Receiver;A device that receives signals or messages.;roleMixin
Train;A series of connected railway vehicles pulled or pushed by a locomotive.;kind
BeingControlled;The state of being subject to control.;phaseMixin
Communication;The imparting or exchanging of information or news.;kind
TSR Area;An area where a Temporary Speed Restriction is in effect.;subkind
Message;A verbal, written, or recorded communication sent to or left for a recipient who cannot be contacted directly.;kind
Train Wheel;A wheel that is part of a train's undercarriage.;subkind
RBC;Likely 'Radio Block Center' - A component of train control systems.;roleMixin
On-board System;A system that is installed on a vehicle, in this context likely on a train.;subkind
Monitor;A device or program that observes and records the operation of a system or process.;roleMixin
BeingSensed;The state of being detected or measured by a sensor.;phaseMixin
Provider;A person or thing that provides something.;role
Control Parameter Communication;The communication of parameters related to control systems.;subkind
Mover;A person or thing that moves.;roleMixin

Primary Key Constraint;A rule that ensures data in a specific column (or set of columns) is unique and not null, acting as a primary identifier for rows in a table.;subkind
Loaded DBMS Copy;A specific instance of a Database Management System (DBMS) loaded and running in a system's memory, representing its active state.;phase
Software System;A collection of interacting software components, often with a defined architecture, designed to accomplish a specific function or set of functions.;kind
Information Schema;A set of metadata tables within a relational database management system (RDBMS) that provides information about the database's structure, such as tables, columns, and constraints.;kind
Database;An organized collection of data, typically stored and accessed electronically, managed by a database management system (DBMS).;kind
Language;A system of communication consisting of a set of rules and symbols used to convey information.;kind
Primary Key Column;A column in a database table that uniquely identifies each row in that table.;role
Line Type;A classification of lines based on their characteristics or purpose within a specific context.;category
Data File;A computer file that contains data, which can be in various formats like text, binary, or structured.;kind
Data Schema;A formal description of the structure of data, including tables, columns, data types, and relationships between them.;kind
Database System;A system composed of a database, a database management system (DBMS), and the applications that interact with them.;kind
Column Type Constraint;A rule that restricts the type of data that can be stored in a specific column of a database table.;subkind
Loaded RDBMS Copy;An active instance of a Relational Database Management System in memory, ready to process data requests.;phase
Dictionary;A collection of data definitions, often used within a DBMS to store metadata.;kind
Table;A collection of data organized in rows and columns, a fundamental structure for storing data in relational databases.;kind
Data Type Constraint;A rule that governs what kind of data can be stored in a database column.;subkind
Internal Data Type;A data type used internally by a specific DBMS, which might have a direct equivalent in programming languages or represent data structures specific to database operations.;subkind
Foreign Key Column;A column in a database table that creates a link to the primary key of another table, defining relationships between them.;role
DBMS;Database Management System - software for managing databases.;kind
Software Item;A distinct piece of software with a defined purpose and functionality.;subkind
Relational Database;A type of database that organizes data into tables with rows and columns, using relationships between tables for efficient data retrieval.;subkind
DBMS Account;A user account within a DBMS used for authentication and authorization to access and manage database resources.;kind
RDBMS;Relational Database Management System - a type of DBMS specifically designed for relational databases.;subkind
Base Table;A table that physically exists in a database, storing actual data as opposed to derived tables.;subkind
Line;A geometric object that extends infinitely in both directions.;kind
Constraint;A rule or limitation enforced on data to ensure data integrity and consistency.;kind
Foreign Key Constraint;A type of constraint that enforces referential integrity by ensuring that values in a foreign key column correspond to values in the primary key column of the referenced table.;subkind
Derived Table;A virtual table created from the result set of a query, not physically stored in the database, but dynamically generated when the query is executed.;subkind
DBMS Item;A component or element that is part of a DBMS.;subkind
RDBMS Item;A component or element specifically associated with a Relational Database Management System (RDBMS).;subkind
External Data Type;A data type used in programming languages or external systems that interact with the database.;subkind
Data Type;A classification of data that determines the possible values it can hold and the operations that can be performed on it.;kind
Relational Data Language;A language used to interact with relational databases, such as SQL.;subkind
Schema;A structured description of a database, outlining its organization and the relationships between its elements.;kind
Data Language;A language designed for managing and accessing data in a database.;subkind
Relational Schema;A schema specifically for a relational database, describing its tables, columns, and relationships.;subkind
Loaded Software System Copy;An instance of a software system loaded into memory and running.;phase
Column Constraint;A rule or limitation applied to a specific column in a database table.;subkind
Artifact;An object made by human workmanship, typically one of cultural or historical interest.;kind
Check Constraint;A type of constraint that limits the values that can be placed in a column based on a specified condition.;subkind
Column;A vertical division within a table that represents a specific attribute or characteristic of the data being stored.;kind
Relational Database System;A system that manages data using a relational database model.;subkind

Experience Value Asc.;The ascription of value based on personal or collective experience.;subkind
Preference Belief;A belief about an agent's subjective preference for one state of affairs over another.;subkind
Value Object;An entity that is considered to have value or worth.;roleMixin
Belief Type;A category or kind of belief, classifying beliefs based on their nature or content.;type
Value Experience;The subjective experience of perceiving and evaluating value.;event
Value Assessor Participant;An agent who participates in the process of assessing or evaluating value.;roleMixin
Decision;The act or process of making a choice from among a set of alternatives.;event
Means-end Belief;A belief about the effectiveness of certain actions or means for achieving desired ends or goals.;subkind
Object Value Asc.;The ascription of value to an object based on its inherent properties or characteristics.;subkind
Intrinsic Moment Universal;A universal representing the intrinsic value or worth of an experience at a particular moment in time.;category
Value;The degree of importance, worth, or usefulness of something.;quality
Precondition Belief;A belief about the necessary conditions or prerequisites for something to occur or be achieved.;subkind
Assessment Belief;A belief that results from a process of evaluation or judgment.;subkind
Goal;A desired state of affairs that an agent seeks to achieve.;kind
Goal Universal;A universal representing the general concept of a goal, independent of any specific context.;category
Knowledge Intensive Activity;An activity that requires a significant amount of knowledge or expertise.;subkind
Value Subject participant;An entity that is the subject of value judgment and actively participates in a related process.;roleMixin
Pursuable Goal;A goal that is considered to be achievable or worth pursuing.;subkind
Value Assessor;An agent who assesses or evaluates value.;roleMixin
Value Ascription;The act of assigning or attributing value to something.;relator
Motivating Belief;A belief that provides motivation or incentive for an agent to act.;subkind
Executive Goal;A high-level goal that guides decision-making and action.;subkind
Participant;An entity that takes part in an event or activity.;role
Active Goal;A goal that is currently being pursued by an agent.;phase
Cost Belief;A belief about the costs or disadvantages associated with a particular action or choice.;subkind
Goal Type;A category or kind of goal, classifying goals based on their nature or content.;type
Incompatibility Belief;A belief that two or more goals are mutually exclusive or cannot be achieved simultaneously.;subkind
Chosen Goal;A goal that has been selected or adopted as a course of action.;phase
Value Subject;An entity that is the subject of a value judgment.;roleMixin
Belief;An acceptance that something exists or is true, especially one without proof.;category
Risk;The possibility of something bad happening.;quality

Railway Concessionaire;An organization granted the right to operate a railway line for a specific period.;role
User Community of PRCS;A group of people or organizations that use or benefit from a Passenger Rail Chartered Service.;collective
User of PRCS;An individual or organization that uses a Passenger Rail Chartered Service.;role
PRCS Offering Commitment;A pledge or guarantee made regarding the provision of a Passenger Rail Chartered Service.;kind
Interested Agent;An individual or organization expressing interest in or potentially affected by a Passenger Rail Chartered Service.;roleMixin
Railway Usage Agreement;A contract outlining the terms and conditions for using a railway line.;kind
PRCS Description;A document or statement defining the characteristics and details of a Passenger Rail Chartered Service.;kind
Regulatory Agency;A government body responsible for overseeing and regulating railway operations.;role
PRCS Offering Claim;An assertion or statement made regarding the availability or characteristics of a Passenger Rail Chartered Service.;kind
Regulatory Legislation;Laws and regulations governing railway operations and services.;kind
Eventual Passenger Rail Chartered Service;A future service involving the chartering of passenger rail transport.;kind

Surface Wind;Wind speed and direction measured at the Earth's surface.;quantity
Global Observation System;A network of instruments and data collection systems used to monitor the Earth's environment on a global scale.;kind
Weather Forecast Time Point;A specific point in time for which a weather forecast is made.;phase
Severe Weather Indicators;Meteorological variables that indicate the potential for severe weather.;quality
Temperature;A measure of the degree of hotness or coldness of a substance or object.;quantity
Person;A human being.;kind
Line;A long, narrow mark or band.;kind
Weather Reports;Reports that provide information about current and predicted weather conditions.;kind
Property;An attribute, quality, or characteristic of something.;quality
Time Interval;A duration of time between two specific points in time.;quantity
Relative Humidity;The amount of moisture in the air compared to the maximum amount the air could hold at that temperature.;quantity
Regional Numerical Models;Numerical weather prediction models that cover a specific geographical region.;kind
Precipitation;Any form of water that falls from clouds and reaches Earth's surface.;quantity
Geographic Coverage;The geographical area covered by something.;quality
Severe Weather Event Moment;A specific point in time during which a severe weather event occurs.;phase
Geographic Object;An object that has a location in space.;kind
Victim;A person harmed, injured, or killed as a result of a crime, accident, or other event or action.;role
Air Temperature;The degree of hotness or coldness of the air.;quantity
Weather Forecast;A prediction of future weather conditions.;kind
Material Property;A property of a material, such as its density, strength, or conductivity.;quality
Point;A precise location in space.;kind
National Meteorological Service;A government agency responsible for providing meteorological services, including weather forecasting and warnings.;kind
Damage;Physical harm caused to something, making it less attractive, useful, or valuable.;kind
Local Data Manager;A system or person responsible for managing local data.;role
Cloudiness;The state of being cloudy.;quality
Severe Weather Events;Weather events that pose a threat to life and property.;kind
Sea Surface;The boundary between the ocean and the atmosphere.;kind
Meteorological Parameters;Variables that describe the state of the atmosphere, such as temperature, pressure, and humidity.;quantity
Spatial Thing;Anything that has a location in space.;kind
Numerical Weather Prediction Models;Computer models used to forecast future weather conditions.;kind
Polygon;A plane figure with at least three straight sides and angles, and typically five or more.;kind
Atmospheric Pressure;The pressure exerted by the weight of the atmosphere.;quantity
Software Agent;A computer program that acts autonomously on behalf of a user or another program.;kind
Weather Forecaster;A person who predicts future weather conditions.;role
World Numerical Models;Numerical weather prediction models that cover the entire globe.;kind

hospital;An institution providing medical and surgical treatment and nursing care for the sick or injured.;kind
rating;A measure of how good or popular something or someone is.;quality
sportorganizationBoard;A group of people responsible for governing a sports organization.;collective
post;An online message or piece of content published on a website or social media platform.;kind
locationCollection;A collection or grouping of locations.;collective
postInteractor;An entity that interacts with posts, such as liking, commenting, or sharing.;roleMixin
appRegistration;The act of registering for an app.;event
postCreation;The act of creating a post.;event
profileInteractor;An entity that interacts with user profiles, such as viewing or editing.;roleMixin
organization;A group of people with a particular purpose, such as a business or government department.;kind
food;Any nutritious substance that people or animals eat or drink, or that plants absorb, in order to maintain life and growth.;kind
postRating;A rating given to a post by users.;quality
profileMessage;A message sent to or from a user's profile.;kind
profileUserAge;The age of a user, as reflected on their profile.;quality
sportOrganizationMember;A member of a sports organization.;role
bedroomAmentity;An amenity or feature found within a bedroom.;subkind
postAuthor;The author or creator of a post.;role
store;A retail establishment selling goods to the public.;kind
house;A building for human habitation, especially one that consists of a ground floor and one or more upper storeys.;kind
summerSport;A sport typically played during the summer.;subkind
universityBoard;A governing body of a university.;collective
sportEvent;An organized sporting event or competition.;subkind
sportLocation;A location where a sport is played or an event is held.;subkind
sportActivity;A specific type of sports activity or discipline.;subkind
masterStudent;A student pursuing a master's degree.;role
