name;stereotype;number;description;inferred_stereotype
Day of Week;enumeration;122;One of the seven days in a week.;kind
De Facto Detainment;subkind;63;A situation of confinement or deprivation of liberty that exists in practice, even if not officially recognized or legally authorized.;situation
De Jure Detainment;subkind;63;;None
Deacon;role;9;An ordained minister of an order ranking below that of priest.;subkind
Dead Border;subkind;70;A border that is not actively monitored or enforced.;phase
Debit Commitment;subkind;80;A promise or obligation to make a future payment or transfer of funds from an account.;kind
Debit Event;subkind;80;An accounting entry representing a decrease in liabilities or equity, or an increase in assets.;event
Deceased Person;phase;63;A person who is no longer alive.;phase
Decision;role;61;The act or process of making a choice from among a set of alternatives.;event
Decision Resulting Action;event;61;An action that is taken as a result of a decision.;relator
Decisão Final;mode;81;;None
Decisão Final com Penalidade;mode;81;A final decision that includes a penalty.;situation
Deck;kind;7;;None
Declaração de Caducidade;mode;81;;None
Declaração de Inidoneidade;mode;81;A declaration of incompetence or unsuitability.;kind
Declaração de Utilidade Pública;relator;81;;None
DeclaredProvenance;subkind;37;The provenance of a product as asserted or claimed by the seller or provider, which may be subject to verification.;kind
DeclaredValue;stringNominalStructure;6;The value of something as stated or claimed, often for customs or insurance purposes.;quality
Decommissioned;phase;124; (of a ship or aircraft) Officially taken out of service.;phaseMixin
Decomposability;roleMixin;120;The ability of a system to be broken down into smaller, more manageable components.;quality
Decrement Event;subkind;114;An event that reduces the quantity or value of something.;event
Decreto;subkind;81;;None
Decreto Autônomo;subkind;81;An autonomous decree.;kind
Decreto Legislativo;subkind;81;;None
Decreto Presidencial;kind;81;;None
Decreto Presidencial de Desapropriação de Imóvel;subkind;81;;None
Decreto Regulamentar;subkind;81;;None
Decreto Singular;subkind;81;;None
Decreto de Utilidade Pública;subkind;81;A decree of public utility.;kind
Deduction;kind;7;The process of using logic and reasoning to draw conclusions or solve puzzles, often featured in mystery or investigation games.;kind
Deductive;kind;88;A type of reasoning that draws specific conclusions from general principles.;subkind
Deed;relator;59;A legal document that transfers ownership of a property.;kind
Defective Disk;phase;128;A disk that is not functioning properly.;phase
Defective Module;phase;128;A module that is not functioning properly.;phase
Defeito;mode;81;;None
Defeito de Trecho Rodoviário;mode;81;;None
Defeito na Balança;mode;81;;None
Defeito na Drenagem;mode;81;A drainage defect.;kind
Defeito na Faixa de Domínio;mode;81;;None
Defeito na Interseção;mode;81;;None
Defeito na Ponte;mode;81;;None
Defeito na Sinalização Rodoviária;mode;81;;None
Defeito no Canteiro Central;mode;81;A defect in the median strip.;kind
Defeito no Componente de Iluminação;mode;81;;None
Defeito no Pavimento;mode;81;;None
Defeito no Túnel;mode;81;;None
Defined Geographical Element;category;103;;None
Definitiva (art. 12,I,b);subkind;43;Característica da nacionalidade brasileira que, uma vez adquirida, seja por nascimento ou naturalização, não pode ser perdida involuntariamente.;mode
Deg_Reg;relator;18;Unclear without context. Potentially short for 'Degree Regulation'.;None
Degradação;mode;81;Degradation.;event
Degree;kind;18;A unit of measurement or intensity. Needs context to understand what it quantifies.;quantity
Degree Requirement;kind;117;A requirement that must be met in order to earn a degree.;kind
DegreeRegulation;role;18;The regulation of something based on its 'Degree' or intensity.;subkind
Degrees_Celsius;datatype;24;A unit of measurement for temperature on the Celsius scale.;kind
Delay;role;58;A period of time by which something is late or postponed.;kind
Delegation;relator;89;The assignment of authority to another person to carry out specific activities.;relator
Delegação;relator;81;The act of entrusting a task or duty to another person or entity.;relator
Delegação em Convênio de Manutenção;relator;81;;None
Deletable;category;55;Something that can be deleted.;roleMixin
Delete;subkind;55;The act of removing or eliminating something.;relator
Deliberation;event;61;Long and careful consideration or discussion.;event
Deliberative Act;event;89;An act that is done consciously and intentionally, typically after careful thought or deliberation.;subkind
Delight;event;47;Activities that go above and beyond customer expectations to create a positive and memorable experience.;kind
Deliverable;mode;101;A tangible or intangible output or outcome that is expected to be produced by a project or process.;kind
Deliverable Product;subkind;30;A tangible or intangible output that is produced and delivered as part of a project.;kind
Demand for Market;mode;35;The overall demand for the goods or services offered within a particular market.;kind
Demiurge;kind;28;A being responsible for the creation of the universe.;role
Democratic;subkind;28;Relating to or supporting democracy or its principles.;subkind
Democraty;subkind;51;;None
Denial;subkind;51;A statement that contradicts an assertion or claim.;kind
Denúncia;kind;81;;None
Department;subkind;42;A specialized unit within an organization.;subkind
Department Allocation;relator;5;The process of assigning departments to specific roles or functions.;relator
DepartmentChief;role;42;The head of a department.;role
Departure Date;datatype;50;The date on which a journey begins.;quality
Departure Place;roleMixin;50;The place from which a journey begins.;quality
Dependability;roleMixin;120;The ability of a system to operate reliably and consistently, fulfilling its intended functions without failure.;quality
Dependency;relator;20;A relationship where one element relies on or is affected by another element.;relator
Depicted Person in Intimacy;role;74;;None
Depicted Person with Privacy Violated;role;74;;None
Depicter Person;role;74;;None
Deployed;phase;125;A state where something has been made available for use.;phase
DepolarizationOfCSAMyocytes;event;105;The process of depolarization happening in the cardiomyocytes of the cardiac sinoatrial node.;event
DepolarizationOfCSVMyocytes;event;105;The process of depolarization happening in the cardiomyocytes of the cardiac specialized ventricular system.;event
DepolarizationOfPacemakerSANodeMyocytes;event;105;The event of depolarization happening in the pacemaker cells of the sinoatrial node.;event
Deprecated Bearer;roleMixin;61;An entity that is no longer preferred to bear or possess something.;roleMixin
Depressão;mode;81;;None
Derivative Instrument;collective;80;A financial instrument whose value is derived from the value of an underlying asset, such as a stock, bond, or commodity.;kind
Derived;kind;7;;None
Derived Table;subkind;131;A virtual table created from the result set of a query, not physically stored in the database, but dynamically generated when the query is executed.;subkind
Desapropriação;relator;81;;None
Descida D'água;kind;81;;None
Described;role;125;A state of having been described. Use a relator to indicate what is describing what.;phase
Describee;role;125;The entity that is being described. This might be too generic without context. Consider if a 'Description' relator wouldn't be more suitable.;None
Describes Part;relator;125;Potentially a relator, but unclear without context. Does one entity describe a part of another?;None
Desgaste;mode;81;;None
Design;kind;3;Refers to the overarching plan, aesthetics, and intentional elements of the video game.;kind
Design Document;subkind;94;A document that describes the design of a software system or component.;document
Design Documentation;event;94;Documents that describe the design of a software system.;document
Design Evaluation;event;94;The process of assessing the quality and suitability of a software design.;process
Design Evaluation Document;subkind;94;A document that presents the results of evaluating a software design.;document
Design Process;event;94;A systematic approach to designing software systems or components.;kind
Design conversation;event;68;A conversation between two or more people about the design of something.;kind
Design object;category;68;An object that is the subject of a design process.;kind
Designer;role;94;An individual involved in the design of a software system.;role
Desire;category;12;A strong feeling of wanting to have something or wishing for something to happen.;subkind
Desired Image;kind;126;The specific impression or perception a brand aspires to create in the minds of its target audience.;situation
Desnível;mode;81;An unevenness or difference in level.;kind
Despair;subkind;7;;None
Desperation;subkind;7;A state of despair and urgency, often experienced when facing imminent loss or failure.;subkind
Despesa;kind;100;An expense or cost.;kind
Despesa Empenhada;role;100;An expense for which funds have been committed (empenhada).;phase
Despesa Liquidada;role;100;An expense that has been verified and settled (liquidada).;phase
Despesa Paga;role;100;An expense that has been paid.;phase
Destaque Orçamentário e Financeiro;mode;81;A budgetary and financial highlight.;kind
Destination;roleMixin;50;The place to which someone or something is going or being sent.;subkind
Destroyed;phase;127;Put an end to the existence of (something) by damaging or attacking it so badly that it cannot be repaired.;phase
Destructor Method;subkind;108;A special method called when an object is destroyed, often for cleanup tasks.;subkind
Detailed Design;event;94;A low-level design of a software system or component, providing detailed specifications.;artifact
Detained;roleMixin;63;;None
Detained Group;role;63;A group of people who are detained or held in custody.;collective
Detained person;role;63;;None
Detainment;relator;63;The act of detaining someone or the state of being detained.;situation
Detainment Conditions;situation;63;The circumstances and treatment experienced by individuals held in detention or custody.;kind
Detective;role;129;A law enforcement officer, typically plain-clothed, responsible for investigating crimes, gathering evidence, and apprehending suspects.;role
Detector de Altura;kind;81;A height detector.;kind
Detention Centre;role;63;A place where people are held in custody, especially for short periods.;kind
DevelopmentPhase;event;92;A phase in which something is developed.;phase
DevelopmentPlanning;event;92;The process of planning the development of something.;event
DeviantForm;subkind;51;A form that deviates from the norm or the correct form.;subkind
Device;kind;69;A piece of equipment designed for a particular purpose.;kind
DevoluteLand;subkind;118;Land that has been transferred or passed down.;subkind
Diagnosis;kind;64;The identification of the nature of an illness or other problem by examination of the symptoms.;kind
DiagnosisMethod;enumeration;90;A particular procedure for accomplishing or approaching something, especially a systematic or established one.;kind
Diagnostic Laboratory;subkind;5;A specialized laboratory performing diagnostic tests and analyses.;subkind
DiagnosticProcedure;subkind;90;A medical procedure performed to identify the cause of a patient's symptoms or illness.;subkind
Dice Rolling;kind;7;A random event in games determined by rolling dice.;kind
Dictionary;kind;131;A collection of data definitions, often used within a DBMS to store metadata.;kind
Die;kind;7;;None
Die Marker;kind;7;;None
Difference;kind;28;The state or quality of being dissimilar or unlike.;quality
Differentia;mode;51;A distinguishing feature or characteristic.;kind
DifferentiaForGenus;role;51;The essential characteristic that distinguishes one genus from another.;relator
DifferentiaForSpecies;role;51;The characteristic that distinguishes one species from another within a genus.;relator
Difficulty;quality;122;The state or quality of being difficult.;quality
DigestiveSystem;collective;64;The system that breaks down food and absorbs nutrients.;kind
Digital;kind;10;Representing data as a series of digits (typically binary), often referring to electronic formats.;mode
Digital File;kind;63;A computer file in digital format.;kind
Digital Folder;kind;63;;None
Digital Media Object;category;63;;None
Digital Monetary Object;roleMixin;41;A monetary object that exists in digital form, such as cryptocurrency or digital cash.;subkind
Digital Object;category;113;An object represented in a digital format, typically as a sequence of bits.;subkind
Digital Platform;kind;74;;None
Digital Technology;collective;113;Technology that utilizes digital electronics and systems.;subkind
DigitalChannel;subkind;47;A channel that uses digital technologies to interact with and reach customers.;subkind
DigitalDocument;kind;92;A document that is created and stored electronically.;kind
DigitalDocumentPermission;mode;92;Permissions related to a digital document.;kind
DigitalGame;kind;22;A game played using electronic devices.;subkind
Digital_Images;kind;24;Digital representations of visual information, typically captured by cameras or scanners.;kind
Digitized;subkind;127;Convert (pictures or sound) into a digital form that can be processed by a computer.;phase
Dimensions;enumeration;31;The spatial extent (length, width, thickness) of a geological feature.;quality
Direct Competitor;roleMixin;35;A business that offers similar products or services to the same target market as another business.;role
Directive (actagenic);event;68;A type of communicative act that attempts to cause the hearer to do something.;subkind
Directly Bound Reference Point;category;103;;None
Directly Connected Transport Entity;category;103;;None
Disallowed Situation;role;23;A situation that is prohibited or not permitted by law, rules, or regulations.;situation
Disapointment;subkind;7;A negative emotional response to unfulfilled expectations or setbacks, potentially impacting player experience.;subkind
Discarded;phase;127;Get rid of (someone or something) as no longer useful or desirable.;phase
Discipline;kind;42;A branch of knowledge, typically one studied in higher education.;kind
Disclose Information;event;63;;None
Discontinued Ship Type;phase;124;A type of ship that is no longer being produced.;phaseMixin
Discouragement;subkind;7;A loss of confidence or enthusiasm, often resulting from setbacks or perceived difficulty.;subkind
Discoverer;role;124;;None
Discovery Entitlement;relator;124;;None
Disgust;kind;7;;None
Disk;kind;128;A storage device that uses magnetic storage to store and retrieve digital data.;kind
Dislike;subkind;7;A feeling of mild aversion or disapproval, potentially influencing player interactions and social dynamics.;subkind
Dispatcher;kind;130;A person or system that controls the movement or routing of trains.;role
Dispensa Licitacão;relator;100;The act of exempting a contract from the competitive bidding process (licitacão).;event
Disposal Tender;subkind;71;A tender for the disposal of assets or property.;subkind
Disposed;phaseMixin;68;Thrown away or gotten rid of.;phase
Disposition;category;0;An inclination or tendency to act or think in a particular way.;quality
Disposition Belief;subkind;12;A belief about an entity's inherent qualities of mind and character.;subkind
Dispositive de drede dual;subkind;95;Potentially a typo, meaning unclear, needs further clarification.;None
Dissipador de Energia;kind;81;An energy dissipater.;kind
Distaste;subkind;7;A feeling of aversion or disapproval, often stronger than dislike and elicited by something perceived as unpleasant or offensive.;subkind
Distraughtness;subkind;7;;None
Distrito;kind;81;;None
Diversion;kind;7;;None
Doador;role;119;An entity from whom an item is retrieved for transplantation.;role
Doctor;role;90;"A qualified practitioner of medicine; a physician.";role
Doctoral Degree Student;phase;8;A person pursuing a doctoral degree.;role
Document;subkind;127;A piece of written, printed, or electronic matter that provides information or evidence or that serves as an official record.;kind
Document Operated;relator;10;A document that has been handled or modified in some way.;roleMixin
Document Template;kind;83;A predefined format or structure for a document.;kind
Document Type;type;83;A classification or category of documents based on their purpose or content.;subkind
DocumentType;collective;64;;None
Documentação do Órgão Ambiental;category;81;;None
Documentação sobre Imóvel do Órgão Ambiental;kind;81;;None
Documento;kind;77;A formal record or piece of information, typically written, that provides evidence or information about something.;kind
Documento de Representação;kind;81;A document of representation or authorization.;kind
Documento sobre Imóvel do Órgão Ambiental;subkind;81;;None
DoseSchedule;kind;90;;None
Dotação Orçamentária;mode;81;;None
Double Part;subkind;82;A part that is divided into two sub-parts.;subkind
Draft;phase;125;A game mechanic where players take turns selecting from a shared pool of resources, cards, or units.;kind
Drawing;mode;85;A picture or diagram made with a pencil, pen, or crayon rather than paint.;kind
Dread;subkind;7;;None
Drenagem Subterrânea;subkind;81;;None
Drenagem Superficial;subkind;81;;None
Drenagem de Transposição de Talvegues;subkind;81;;None
Drenagem de Travessia Urbana;subkind;81;;None
Drenagem do Pavimento;subkind;81;;None
Dreno;kind;81;;None
Driver;role;96;A person who operates a motor vehicle.;role
Driver's License;relator;96;;None
Driving License;relator;50;An official document that permits a person to operate a motor vehicle.;kind
Drug;kind;90;A substance used in the treatment, cure, prevention, or diagnosis of disease or used to otherwise enhance physical or mental well-being.;kind
Dry;quality;51;"Free from moisture or liquid; not wet or moist.";quality
Dual Network Device;subkind;95;A network device with redundant components or connections.;subkind
Dual Power Inlet;subkind;95;A feature of a device that allows it to draw power from two independent power sources, enhancing redundancy.;roleMixin
Duration Clause;subkind;82;A clause that specifies the length of time that something is intended to last.;subkind
Duty to Keep the Intimate Media Object Privately;mode;74;;None
Duty-bearer;roleMixin;63;;None
Duty-bearer representative;role;63;An individual or entity acting on behalf of a duty-bearer, who is an entity with an obligation to respect, protect, or fulfill human rights.;role
Duty_Holder;roleMixin;111;The party who is legally obligated to perform a specific duty.;role
Duty_to_Indemnity;mode;111;The legal obligation of a party to compensate another party for losses or damages as specified in an agreement or by law.;roleMixin
Dvd;subkind;58;A digital videodisc.;kind
DynamicEntity;kind;92;An entity that changes over time.;kind
Dynamics;kind;7;The interplay of forces, actions, and reactions within a game system, shaping how it evolves and responds to player choices.;kind
E-OPL: Complex Organisation;subkind;63;;None
E-OPL: Complex Organisational Unit;subkind;63;;None
E-OPL: Multiorganisation;subkind;63;;None
E-OPL: Organisation;kind;63;;None
E-OPL: Organisational Unit;kind;63;;None
E-OPL: Simple Organisation;subkind;63;Denotes a basic organizational structure in the E-OPL (Electronic Ontology for Public Law) framework, likely characterized by a single entity or a small group with shared goals.;subkind
E-OPL: Simple Organisational Unit;subkind;63;;None
E-OPL: Standalone Organisation;subkind;63;;None
E-OPL: Team;kind;63;;None
E-mail;kind;81;Electronic mail.;kind
E-mail de Manifestação;role;81;;None
ECGDevice;subkind;104;A device that records the electrical activity of the heart.;kind
ECGForm;kind;105;The form or shape of an electrocardiogram (ECG).;kind
ECGLead;kind;104;A specific configuration of electrodes placed on the body to record electrical activity from a particular perspective.;kind
ECGLeadBipolarLimb;subkind;104;A type of ECG lead that measures the electrical difference between two points on the limbs.;subkind
ECGLeadUnipolar;subkind;104;A type of ECG lead that measures the electrical potential at a single point relative to a reference point.;subkind
ECGRecord;kind;105;A record or recording of an electrocardiogram (ECG).;kind
ECGRecordingDevice;kind;105;A device that records electrocardiograms (ECGs).;kind
ECGRecordingSession;ComplexAction;104;A session during which an electrocardiogram (ECG) is recorded.;kind
ECGSampleSequence;subkind;104;A sequence of individual ECG samples taken over time.;collective
ECMOfCSA;quantity;105;Extracellular matrix (ECM) of the cardiac sinoatrial node.;kind
ECMOfCSV;quantity;105;The extracellular matrix (ECM) of the cardiac specialized ventricular system.;kind
ECMOfSANode;quantity;105;Extracellular matrix (ECM) of the sinoatrial node.;kind
EPR;kind;105;Electron paramagnetic resonance.;kind
EPsAccumulator;roleMixin;105;An entity or system that accumulates electrical potentials.;roleMixin
ETRP Autorizatária em RE;role;81;;None
ETRP Permissionária;role;81;;None
ETRP de Fretamento Contínuo;role;81;;None
ETRP de Fretamento ET;role;81;Electronic Toll Collection System for chartered transportation.;kind
EU Difficulty;enumeration;122;A measure of difficulty level specific to European standards.;subkind
Earth;subkind;51;"The planet on which we live; the world.";kind
Earth Fluid;category;52;Any fluid found on or within the Earth, such as water, oil, magma, or natural gas.;subkind
Earth Material;category;52;Any material that makes up the Earth, including rocks, minerals, soil, water, and gases.;subkind
Earth Solid;category;52;Any solid material that makes up the Earth, including rocks, minerals, and soil.;subkind
Economic Activity Classification NACE;kind;55;A standard classification system for economic activities.;kind
Economic Agent;kind;114;An entity involved in economic activities, such as production, consumption, or exchange.;role
Economic Agreement;relator;39;An agreement between two or more parties regarding an economic exchange.;kind
Economic Commitment;kind;80;A binding agreement or promise made by economic agents that involves future actions or transfers of economic resources.;kind
Economic Event;kind;114;An event impacting an organization's financial position.;event
Economic Exchange;event;48;The transfer of goods, services, or money between two or more parties.;kind
Economic Exchange Type;type;39;A classification of economic exchanges, e.g., sale, barter, gift.;type
Economic Offering;relator;39;The act of presenting something for acceptance or rejection as part of an economic exchange.;event
Economic Proposal;kind;71;A proposal outlining the financial aspects of a project.;subkind
Economic Proposal in Specific Proposal;role;71;The economic aspects detailed within a specific proposal.;roleMixin
Economic Resource;kind;80;Anything scarce and valuable used in economic activity.;kind
Economical Consequence;subkind;63;;None
Ecosystem;kind;118;A biological community of interacting organisms and their physical environment.;kind
EcosystemType;type;118;A classification of ecosystems.;type
Ecstasy;subkind;7;;None
Edificação Rodoviária de Apoio;subkind;81;A highway support building.;kind
Edificação de Rodovia;subkind;81;;None
Edit;subkind;55;The act of making changes or modifications.;relator
Editable;category;55;Something that can be modified or altered.;roleMixin
Edited;relator;125;A state of having been corrected or modified.;phase
Edition;mode;127;A particular form or version of a published text.;subkind
Edition Publishing;relator;124;;None
Editor;roleMixin;102;A person who prepares a scientific work for publication.;role
Edição de Livro;subkind;102;A particular version of a book, identified by its publication details and revisions.;subkind
Edição de Obra Científica;relator;102;A particular version of a scientific work, identified by its publication date, editor, or revisions.;subkind
Edição do Evento;kind;102;A specific instance or occurrence of a scientific event, like a conference.;subkind
Education;kind;28;The process of receiving or giving systematic instruction, especially at a school or university.;event
Education Record;kind;55;A history or record of a person's education.;kind
Educational History;kind;117;A record of a person's educational background.;kind
Educational Institution;role;110;An organization that provides education, such as a school, college, or university.;kind
Educational Organization;kind;117;An institution or body dedicated to providing education or training.;kind
Educational Society;subkind;70;A type of society that prioritizes education and learning.;subkind
Educational Supervisor;role;110;A supervisor who is primarily responsible for an intern's academic progress and learning objectives.;subkind
EducationalInstitution;subkind;38;An institution for providing education, such as a school, college, or university.;kind
EducationalOrganization;category;15;An organization dedicated to education.;subkind
Effective Issue;phase;49;An issue that is producing the desired or intended results.;roleMixin
EfficientCause;subkind;51;The agent or force that brings about a change or effect. One of Aristotle's four causes.;role
Egg;mixin;118;An organic vessel containing the zygote in which an animal embryo develops until it can survive on its own.;subkind
Egress LC;roleMixin;103;;None
Egress MC Sk;role;103;;None
Egress MC Sk-So;role;103;;None
Egress MC So;role;103;;None
Egress SN Sk;role;103;;None
Egress SN Sk-So;role;103;;None
Egress SN Sk-So_2;role;103;The second egress subnetwork (SN) for the Sk-So connection.;subkind
Egress SN So;role;103;An egress subnetwork (SN) for the So connection.;subkind
EgressStudent;phase;42;A student who has left the institution.;phase
Elder;phase;64;;None
Election;relator;9;The process of choosing a person or persons for a position, especially a public office, by voting.;event
Electorate of the Cadinal School;collective;9;The body of cardinals who are eligible to vote in a papal conclave.;collective
ElectricPotential;quantity;104;The work done per unit of charge to move a charge from a reference point to a specific point in an electric field.;quantity
ElectricalPotential(mV);datatype;105;The electric potential energy per unit charge, measured in millivolts.;quality
Electricity Consumer;role;36;An entity that uses electrical energy.;roleMixin
Electricity Consumption;relator;36;The act of using electrical energy.;relator
Electricity Source;role;36;The origin or provider of electrical energy.;roleMixin
Electrode;kind;105;A conductor used to establish an electrical contact.;kind
ElectrodeAsAMeasurer;role;105;An electrode functioning as a measuring device.;role
Element;kind;28;A part or aspect of something abstract, especially one that is essential or characteristic.;kind
Element Visibility;quality;108;Specifies how accessible a programming element is from different parts of the code (e.g., public, private, protected).;quality
Element of Legally Defined Human Rights Violations;subkind;63;;None
Element_Module;relator;18;Unclear relationship. Could be a 'Module' composed of 'Elements', or an 'Element' that modifies a 'Module'.;None
ElementaryForm;subkind;105;A basic or fundamental form or shape.;kind
Elemento Alterado;roleMixin;81;;None
Elemento Alterável;category;81;A modifiable element.;kind
Elemento Componente de Ato Normativo;category;81;An element that is part of a legal act.;kind
Elemento Espacial;category;81;A spatial element.;kind
Elemento Georreferenciado;category;81;;None
Elemento Incluído;roleMixin;81;;None
Elemento Linear;category;81;;None
Elemento Modificado;category;81;;None
Elemento Original;category;81;;None
Elemento Pontual;category;81;;None
Elemento Revogado;roleMixin;81;;None
Elemento Rodoviário Modificado em Concessão;roleMixin;81;;None
Elemento Vetado;category;81;;None
Elemento de Agrupamento;category;81;A grouping element.;kind
Elemento de Discriminação;category;81;A discriminatory element.;kind
Elemento de Projeto de Engenharia de Faixa de Domínio;category;81;;None
Elemento de Utilidade Pública;category;81;;None
Elemento na Faixa de Domínio;mode;81;;None
Email;subkind;128;A system for sending and receiving messages electronically over a computer network.;kind
Embryo;mixin;118;An early stage of development of a multicellular organism.;subkind
Emenda à Constituição;subkind;81;;None
Ementa;kind;81;A syllabus or course outline.;kind
Emissora de Debênture;role;81;An entity that issues debentures (a type of bond).;role
Emissão de Debênture;relator;81;;None
Empenho;relator;100;The commitment of funds to cover a future expense, essentially a reservation of resources.;phase
Emperor Penguin;subkind;124;;None
Employed;phaseMixin;68;Having paid work.;phase
Employee;role;60;A person employed for wages or salary.;role
Employee Contract;relator;58;A formal agreement outlining the terms of employment for an employee.;kind
Employee Loan;relator;58;A type of loan offered to employees.;subkind
Employee_Loan;role;58;A loan given to an employee.;subkind
Employees;collective;126;Individuals who work for a brand and represent it to stakeholders.;role
Employer;role;110;A person or organization that employs people.;role
Employment;relator;110;The state of having paid work.;situation
Employment Contract;relator;96;A contract between an employer and an employee that outlines the terms and conditions of employment.;kind
Employment History;kind;117;A record of jobs held by a person.;kind
Empresa;kind;100;A business or company.;kind
Empresa Credor;role;100;A company that is owed money (credor).;role
Empresa Limitada;role;81;;None
Empresa Originária de Licitação;mixin;81;;None
Empresa Participante em Consórcio;role;81;A company participating in a consortium.;role
Empresa Regulada;category;81;;None
Empresa Regulada Fiscalizada;role;81;;None
Empresa SA Regular;role;81;;None
Empresa com AFAC;role;81;;None
Empresa com Capital de Terceiros;role;81;;None
Empresa com Reserva;role;81;;None
Empréstimo;relator;81;;None
Empty Tender;role;71;A tender that did not receive any bids.;roleMixin
Encadeamento;kind;81;;None
Encampação;mode;81;;None
Encounter;relator;22;A specific interaction or event within a game, often involving conflict or challenge.;event
End CFTE;subkind;103;;None
End CFTE Bi Component;role;103;;None
End Forwarding;relator;103;The forwarding of traffic at the end of a connection or path.;subkind
EndDate;datatype;88;The date on which an experiment or research project concludes.;quality
EndProduct;kind;37;The final, finished product that results from a manufacturing process, ready for sale or use by the end consumer.;kind
Endereço;datatype;81;;None
Endurant;category;4;An entity that persists over time and maintains its identity.;category
Energia;kind;95;Portuguese for Energy;kind
EnergyAtmosphere;subkind;106;Unclear. Potentially refers to the energy consumption and its impact on the atmosphere.;None
Engage;event;47;Activities focused on creating meaningful interactions with customers to encourage their participation.;kind
Engavetamento;relator;81;;None
Engenheiro Responsável;role;81;;None
EngineeringSchedule;subkind;92;A schedule for engineering activities.;kind
Enjoyment;kind;7;The feeling of pleasure and satisfaction derived from playing a game.;quality
Enrollment;relator;38;The process of enrolling at an institution or in a course.;event
Enrolment;relator;110;The act of officially joining an institution or course as a member or student.;relator
Enterpreneur;role;8;;None
Entidade Pública;subkind;81;;None
Entidade Pública Cedente;role;81;A public entity that grants a concession.;role
Entidade Pública em CA;role;81;;None
Entidade Pública em CA Solicitante;role;81;;None
Entidade Pública em CCT;role;81;A public entity involved in a concession agreement.;role
Entidade Recolhedora de Impostos;role;81;;None
Entidade Responsável por Extinção;role;81;;None
Entidades Avaliáveis;mixin;102;Entities that can be evaluated, likely referring to scientific works, authors, or journals.;None
Entity;category;22;A general term, might be too broad without further context. Could refer to any distinct object, character, or element in the game.;None
Entity Class;role;2;A class in an object-oriented model that represents a data entity in the system, often mapped to a table in a relational database.;role
Entity Subclass;role;2;A subclass in an inheritance hierarchy that represents a specific type of entity in the system.;role
Entity Superclass;role;2;A superclass in an inheritance hierarchy that represents a general type of entity in the system.;role
Entity Table;role;2;A table in a database that represents a specific type of entity and holds data for instances of that entity.;role
EntityInStudy;role;118;An entity that is the subject of a study.;roleMixin
EntityType;kind;40;A classification of data that defines what type of entity the data represents within a system or domain.;kind
Entity_in_process;historicalRoleMixin;17;An entity that participates in or is affected by a biological process.;roleMixin
Entrada em Vigência de Alteração;relator;81;;None
Entrada em Vigência de Inclusão;relator;81;;None
Entrada em Vigência de Revogação;relator;81;;None
Entroncamento;subkind;81;;None
Entroncamento em T;subkind;81;;None
Entroncamento em Y;subkind;81;A Y-shaped intersection.;kind
Entry2D;subkind;92;A two-dimensional entry point. (Needs further context for a more specific stereotype);kind
Environment;mode;118;The surroundings or conditions in which a person, animal, or plant lives or operates.;kind
Environmental Influences;kind;126;External factors that can impact a brand's image and perception, such as economic trends or social movements.;collective
Epic;kind;16;A large user story in Agile development that represents a significant body of work, often broken down into smaller stories.;kind
Epigraph;kind;82;A short quotation or saying at the beginning of a book or chapter, intended to suggest its theme.;subkind
Epígrafe;kind;81;An epigraph (a short quotation or saying at the beginning of a book or chapter).;kind
Equatorial;category;118;Relating to the equator.;quality
Equipe de Fiscalização;kind;81;;None
Equipment;subkind;114;The necessary items for a particular purpose.;kind
Equipment Composed Site;role;103;A site composed of multiple pieces of equipment.;subkind
Equipment Composed of Modules;role;103;Equipment that is composed of multiple modules.;subkind
Equipment Site Component;role;103;;None
Equity;phase;80;The residual interest in the assets of an entity after deducting liabilities.;kind
Equity Account;subkind;114;A record of the owners' stake in a company.;kind
Equivalence;relator;56;The state of being equal in value, amount, function, or meaning.;kind
Equivalent Capability;role;35;The state where two or more entities possess similar abilities or resources to perform a specific action or achieve a particular outcome.;situation
Escada;kind;81;;None
Escalonamento;mode;81;;None
Escopo do Serviço;kind;81;;None
Escorregamento;mode;81;;None
Essence;kind;28;The fundamental nature or core characteristics that define a brand's identity.;quality
EssentialParticular-PrimarySubstance;kind;51;Particulars that are the fundamental entities of existence. In Aristotelian categories, they are primary substances (e.g., this specific man, that particular horse).;category
EssentialUniversal-SecondarySubstance;kind;51;Universals that are essential to the being of their particulars. In Aristotelian metaphysics, these correspond to secondary substances (e.g., species and genera).;category
Estabelecimento;role;81;;None
Estabelecimento de TAC;relator;81;;None
Estado;kind;81;;None
Estatuto Social;relator;81;;None
Estação Meteoreológica;kind;81;A weather station.;kind
Estimativa de Receita;mode;81;;None
Estrado;kind;81;;None
Estrangeiros de qualquer nacionalidade;subkind;43;Indivíduos que não possuem a nacionalidade brasileira, podendo ser de qualquer outra nacionalidade.;kind
Estudante;role;91;Student (in Portuguese), a learner engaged in an educational program or course.;role
Etc;kind;22;Not a meaningful concept for ontological modeling.;None
Ethical Requirement;category;78;A requirement related to moral principles and values.;subkind
EthicalVirtue;subkind;51;A virtue related to a person's character and how they behave in moral situations.;subkind
Ethics;subkind;51;Moral principles that govern a person's behavior or the conducting of an activity.;kind
Ethnic Group;subkind;63;;None
Ethnicity;mode;63;;None
EtimologicalUmbrellaCollection;relator;118;A collection that encompasses a wide range of specimens based on their etymology.;subkind
