Artifact Copy;subkind;Represents a copy of an 'Artifact'.
Performed Simple Activity;situation;A state where a simple activity has been completed.
Configuration Item (CI);kind;Represents a fundamental concept in configuration management - an item under management.
Baseline;kind;A fixed reference point in a project lifecycle, used for comparison.
Change Review;process;The act of reviewing proposed changes.
Version;kind;A specific iteration or release of something, like a document or software.
Change Request Closing;process;The process of formally closing a change request.
Checkout;process;The process of retrieving a version of an item from a repository.
CR Being Solved;phase;Represents the state of a change request while it is actively being addressed.
name;inferred_stereotype;explanation
Severe Weather Event Moment;phase;A 'Severe Weather Event Moment' represents a specific period or phase within the existence of a more general weather event, marked by specific conditions or characteristics.
Cloudiness;quality;Cloudiness represents a measurable property of the atmosphere, existing as a value on a scale (e.g., clear, partly cloudy, overcast).
Relative Humidity;quality;Relative Humidity is a quantifiable property of the air, expressing the amount of moisture present as a percentage.
Precipitation;quantity;Precipitation refers to a measurable amount of condensed water vapor falling to the Earth's surface (rain, snow, etc.).
Material Property;category;A 'Material Property' describes characteristics inherent to physical entities, encompassing concepts like 'Cloudiness,' 'Relative Humidity,' and 'Precipitation,' which are essential for defining weather phenomena.
Spatial Thing;category;'Spatial Thing' acts as a high-level category, encompassing entities like 'Geographic Object' that possess spatial properties and relations.
Severe Weather Indicators;role;'Severe Weather Indicators' represent specific roles assumed by 'Meteorological Parameters' when their values meet certain criteria, indicating a high likelihood of severe weather.
VIctim;role;'Victim' signifies a role that a 'Person' might assume in the unfortunate event of being adversely affected by a 'Severe Weather Events'.
Damage;kind;'Damage' can be conceived as a distinct entity representing the physical harm or destruction inflicted upon 'Property' due to severe weather events, possessing its own set of properties and relations
World Numerical Models;subkind;'World Numerical Models' represents a specialized type of 'Numerical Weather Prediction Models' focusing on global atmospheric and weather patterns.
Software Agent;kind;'Software Agent' denotes an autonomous software program capable of performing tasks and interacting with other agents or systems, such as collecting data, running simulations, or generating reports.
Air Temperature;quality;'Air Temperature' represents a measurable property of the air, quantified on a temperature scale.
Atmospheric Pressure;quality;'Atmospheric Pressure' signifies the force exerted by the weight of the atmosphere on a given surface area, measurable and quantifiable.
Global Observation System;kind;'Global Observation System' refers to a complex system, potentially encompassing hardware and organizational aspects, designed to collect and provide weather-related data on a global scale.
Weather Forecast;kind;A 'Weather Forecast' represents a distinct entity, containing predictions about future weather conditions based on various data sources and models.
Regional Numerical Models;subkind;'Regional Numerical Models' are specialized 'Numerical Weather Prediction Models' with a focus on simulating atmospheric conditions over a specific geographical region.
Person;kind;'Person' denotes a human being, representing a fundamental kind in many ontologies.
Meteorological Parameters;subkind;'Meteorological Parameters' are specialized 'Material Properties' specifically related to weather and atmospheric conditions.
Local Data Manager;role;'Local Data Manager' refers to a specific role that a 'Software Agent' might assume, responsible for managing and processing weather data at a local level.
Weather Forecaster;role;'Weather Forecaster' represents a role played by a 'Person,' involving the analysis of weather data and the issuance of forecasts.
Property;kind;'Property' signifies any tangible or intangible asset owned by an individual or entity.
Sea Surface;kind;'Sea Surface' represents the boundary between the ocean and the atmosphere.
Severe Weather Events;subkind;'Severe Weather Events' denotes specific types of weather phenomena that pose significant risks, such as hurricanes, tornadoes, or severe thunderstorms.
Time Interval;kind;'Time Interval' represents a duration or period of time.
Point;kind;In a geographic context, 'Point' often represents a specific location defined by its coordinates.
Weather Reports;kind;'Weather Reports' are distinct entities containing observed or forecasted weather information for a specific time and location.
Geographic Coverage;relator;'Geographic Coverage' acts as a relator, connecting a 'Weather Forecast' to a specific 'Geographic Object' or area for which the forecast is valid.
Numerical Weather Prediction Models;kind;'Numerical Weather Prediction Models' represent complex computer programs that simulate atmospheric processes to forecast weather conditions.
Line;kind;'Line' is a fundamental geometric shape, often used to represent boundaries or paths in geographic contexts.
Temperature;quality;'Temperature' is a fundamental property of matter, representing the degree of hotness or coldness.
National Meteorological Service;kind;'National Meteorological Service' refers to a governmental organization responsible for monitoring and forecasting weather conditions within a specific country.
Weather Forecast Time Point;kind;'Weather Forecast Time Point' represents a specific point in time for which a 'Weather Forecast' provides predictions.
Surface Wind;kind;'Surface Wind' represents the movement of air near the Earth's surface, characterized by speed and direction.
Polygon;kind;'Polygon' is a geometric shape with multiple sides, often used to represent areas on a map.
Geographic Object;kind;'Geographic Object' represents any entity or feature associated with a specific location or region on the Earth's surface.
name;inferred_stereotype;explanation
FunctionalConcern;subkind;It is a specific type of Concern, representing concerns related to the functions of a system. As it specializes a more general concept, 'subkind' seems appropriate.
Keyword;kind;Keywords are distinct entities used for indexing or classification. They exist independently, making 'kind' a suitable stereotype.
Relationship;relator;Relationships connect entities, and 'relator' represents entities that act as truth-makers for material relations, making it fitting for connecting other elements in the domain.
ContributionType;kind;Contribution types categorize different ways entities can contribute. It represents a distinct concept, hence 'kind'.
Concern;kind;Concern represents a core concept in this domain, likely with its own properties and relationships. Being a fundamental, independent entity, 'kind' fits.
Dependency;relator;Dependency signifies a relation between entities where one relies on another. 'Relator' is apt as it represents entities establishing such connections.
Contribution;relator;Contribution implies a connection between entities, with one contributing to another. 'Relator' accurately depicts this as it connects elements based on this relation.
Source;kind;Source seems to represent the origin of something, which can be an independent entity. Therefore, 'kind' is a reasonable choice.
SourceType;subkind;As it suggests a specialization of 'Source', indicating different types of sources, 'subkind' is a suitable stereotype.
Composition;relator;Composition suggests a whole-part relationship, indicating one entity being composed of others. 'Relator' is fitting as it represents entities establishing this type of connection.
NonFunctionalConcern;subkind;Similar to 'FunctionalConcern', it specializes 'Concern', focusing on non-functional aspects. Thus, 'subkind' appropriately reflects its nature.
name;inferred_stereotype;explanation
Object Risk Assesment;situation;Represents a static configuration of entities and relationships relevant for assessing risks related to objects.
Event;event;Represents a generic occurrence or happening that may have consequences.
Value Enabler;roleMixin;Represents a role or characteristic of something that contributes to or enables the realization of value.
Threat Object;kind;Represents a concrete entity or thing that poses a potential threat to something else.
Risk Subject;roleMixin;Represents an entity that is exposed to or affected by a particular risk.
Value;kind;Represents something that is considered important, beneficial, or desirable.
Vulnerability Type;kind;Represents a class or category of vulnerabilities that can be exploited.
Security Mechanism;kind;Represents a safeguard, measure, or control implemented to enhance security.
Threat Event;subkind;Represents a specific type of event that poses a threat.
Disposition;mode;Represents a tendency, inclination, or characteristic of something that makes it susceptible to certain events or outcomes.
Experience Risk Assesment;situation;Represents a static configuration of entities and relationships related to risk assessment based on experience.
Intention Type;kind;Represents a category or classification of intentions.
Control Chain Event;subkind;Represents an event that is part of a sequence of events aimed at controlling or mitigating a risk.
Value Object;kind;Represents a concrete entity or thing that embodies or holds value.
Value Ascription;relator;Represents the act of attributing or assigning value to something.
Risk Enabler;roleMixin;Represents a role or characteristic of something that contributes to the possibility or likelihood of a risk.
Risk Assessment;kind;Represents a systematic process of evaluating and analyzing risks.
Object at Risk;roleMixin;Represents an entity that is potentially subject to a particular risk.
Loss Event Type;kind;Represents a category or classification of events that can result in losses.
Risk Event Type;kind;Represents a category or classification of events that can potentially lead to risks.
Loss Situation;situation;Represents a static configuration of entities and relationships that describes a state of loss.
Causal Likelihood;mode;Represents the likelihood or probability of a causal relationship between events.
Value Subject;roleMixin;Represents an entity that is the subject or recipient of value.
Action;kind;Represents a deliberate activity or behavior performed by an agent.
Attacker;role;Represents the role of an entity that initiates an attack or exploits a vulnerability.
Protected Subject;roleMixin;Represents an entity that is intended to be protected from threats or risks.
Value Experience;kind;Represents an instance or occurrence of experiencing value.
Risk Event;subkind;Represents a specific type of event that poses a risk.
Generic Intention;kind;Represents a general or broad intention without specific details.
Impact Event;subkind;Represents a specific type of event that causes an impact or consequence.
Threatening Situation;situation;Represents a static configuration of entities and relationships that creates a threatening environment.
Loss Event;subkind;Represents a specific type of event that results in a loss.
Specific Intention;kind;Represents a well-defined and detailed intention.
Value Event;subkind;Represents a specific type of event that is related to value creation, realization, or loss.
Vulnerability;kind;Represents a weakness or flaw that can be exploited to compromise security.
Threat Event Type;kind;Represents a category or classification of threat events.
Protection Trigger;kind;Represents an event or condition that initiates or triggers a protection mechanism.
Threat Capability Type;kind;Represents a category or classification of threat capabilities.
Threatening Situation Type;kind;Represents a category or classification of threatening situations.
Attack;kind;Represents an intentional act of attempting to cause harm or compromise security.
Experience Value Asc.;relator;Represents the act of ascribing or assigning value based on experience.
Value Assessor;role;Represents the role of an entity that assesses or evaluates value.
Control Event Type;kind;Represents a category or classification of control events.
Agent;kind;Represents an entity that can act or perform actions.
Event Type;kind;Represents a category or classification of events.
Situation Type;kind;Represents a category or classification of situations.
Controlled Situation Type;kind;Represents a category or classification of situations that are under control.
Risk Experience;kind;Represents an instance or occurrence of experiencing risk.
Risk;kind;Represents the possibility of something bad happening.
Trigger Event;subkind;Represents a specific type of event that triggers another event or process.
Security Designer;role;Represents the role of an entity responsible for designing security measures.
Risk Assessor;role;Represents the role of an entity responsible for assessing risks.
Triggering Likelihood;mode;Represents the likelihood or probability of an event triggering another event.
Intention;kind;Represents a plan or aim to do something.
Control Event;subkind;Represents a specific type of event that is related to controlling or mitigating risks.
Protection Event;subkind;Represents a specific type of event that provides protection or mitigation.
Controlled Situation;subkind;Represents a specific type of situation that is under control.
Threat Capability;kind;Represents the ability of a threat to cause harm or compromise security.
Control Capability;kind;Represents the ability to control or mitigate risks.
Object Value Asc.;relator;Represents the act of ascribing or assigning value to an object.
Loss Triggering Situation Type;kind;Represents a category or classification of situations that can trigger losses.
Impactful Outcome;kind;Represents the result or consequence of an event or situation that has a significant impact.
Situation;kind;Represents a set of circumstances or conditions at a particular time and place.
name;inferred_stereotype;explanation
Opportunity Event;event;An event that represents an opportunity.
Triggering Likelihood;quality;A quality representing the likelihood of a triggering event occurring.
Vulnerability;disposition;A disposition that represents a weakness or flaw that can be exploited.
Situation;situation;Represents a set of circumstances or state of affairs.
Substantial;kind;A fundamental type of independent entity.
Object at Risk;subkind;A specialization of Object that is susceptible to risk.
Risk Event;event;An event that represents a potential risk.
Causal Likelihood;quality;A quality representing the likelihood of a causal relationship between events.
Impactful Outcome;situation;A situation that results from an event and has a significant impact.
Loss Event;event;An event that results in a loss.
Object;kind;A fundamental, independent type of entity.
Threat Capability;disposition;A disposition of a threat agent that represents its potential to cause harm.
Attack;event;An event in which a threat agent attempts to exploit a vulnerability.
Relator;relator;An entity that connects two or more related individuals in a material relation.
Intention;mode;A mode representing the aim or plan of an agent.
Value Assertion;situation;A statement or claim about the value of something.
Impact Event;event;An event that has a significant impact.
Experience Risk Assessment;role;The role of performing a risk assessment based on experience.
Risk Assessment;process;A process of identifying, analyzing, and evaluating risks.
Likelihood;quality;A quality representing the probability of something happening.
Root Cause Event;event;The initial event that leads to a chain of events resulting in a particular outcome.
Risk Enabler;disposition;A disposition that increases the likelihood or impact of a risk.
Value Enabler;disposition;A disposition that increases the likelihood or positive impact of achieving value.
Value Object;subkind;An object that has value or is associated with value.
Mental Aspect;mode;A mode that represents a mental state or process.
Agent;role;A role representing an entity that can act or take actions.
Gain Ascription;situation;Ascribing a gain to a particular entity or event.
Endurant;type;A general type representing entities that persist in time.
Event;event;A type representing something that happens in time.
Experience Value Asc.;role;The role of ascribing value based on experience.
Object Risk Assess.;role;The role of assessing risks associated with objects.
Value Experience;situation;The experience of something being valuable.
Threat Agent;subkind;A specialization of Agent that poses a threat.
Risk Assessor;role;The role of performing risk assessments.
Value;quality;A quality representing the worth or usefulness of something.
Situation Type;type;A type representing different kinds of situations.
Value Subject;subkind;An entity that is the subject of a value ascription.
Loss Ascription;situation;Ascribing a loss to a particular entity or event.
Mode;mode;A type representing particularized properties that are not values in a conceptual space.
Value Assessor;role;The role of assessing value.
Event Type;type;A type representing different kinds of events.
Capability;disposition;A disposition representing the ability to do something.
Value Asc. Ex Ante;situation;Value ascription made before an event or experience.
Hazardous Situation;situation;A situation that poses a hazard or danger.
Disposition;disposition;A type representing an entity's tendency or inclination to behave in a certain way.
Action;event;An event that is a deliberate activity by an agent.
Trigger Event;event;An event that initiates or triggers another event or process.
Risk Experience;situation;The experience of being exposed to or affected by risk.
Value Asc. Component;situation;A component or aspect of a value ascription.
Risk;situation;A situation involving exposure to danger or loss.
Loss Situation;situation;A situation that involves a loss.
Object Value Asc.;role;The role of ascribing value to an object.
Valuation;process;The process of determining the value of something.
Value Asc. Ex Post;situation;Value ascription made after an event or experience.
Gain Event;event;An event that results in a gain.
Quality;quality;A type representing properties that can be measured or compared.
Value Event;event;An event that affects value.
Threat Event;event;An event that poses a threat.
Value Perception;mode;The subjective perception of value.
Risk Subject;subkind;An entity that is subject to risk.
Threat Object;subkind;An object that poses a threat.
Trope;relator;A relator that represents a specific instance of a property or relation.
Value Ascription;situation;The act of ascribing value to something.
name;inferred_stereotype;explanation
Operational Organization;subkind;It represents a specialization of the kind 'Organization', focusing on operational aspects.
Technical Support;role;Represents a role that individuals within an organization can have, related to providing technical assistance.
Technical Department;subkind;A specific type of 'Department' specializing in technical matters.
Plant Health Inspector;role;Represents the role of someone who inspects the health of plants.
Natural Resources Technician;role;Represents the role of a technician specializing in natural resources.
Cartography Technician;role;Represents the role of a technician specializing in cartography.
Allocated Office;subkind;Represents a specific type of 'Office' that has been allocated for a particular purpose or to a specific entity.
Station;kind;Represents a fundamental entity type, a place or facility equipped for a specific purpose.
Laboratory Technician;role;Represents the role of a technician working in a laboratory setting.
Office;kind;Represents a fundamental entity type, a room or building used as a place of business.
Ancillary Service;subkind;A specific type of 'Service' that is supplementary or auxiliary in nature.
Administrative Structure;subkind;A specialization of the concept 'Structure' focusing on administrative aspects.
Occupational Group;collective;Represents a collection of occupations or job roles with shared characteristics.
Department Allocation;subkind;Represents the act of assigning resources or personnel to a 'Department'.
Server;kind;Represents a fundamental entity type, a computer designed to process requests and deliver data to other computers over a network.
Organizational Structure;subkind;A specialization of the concept 'Structure', focusing on the arrangement of an organization.
Person;kind;Represents a fundamental entity type, a human being.
Assignment;relator;Represents the act of assigning something to someone or something else. It's a relator as it connects two entities.
Land Development Technician;role;Represents the role of a technician specializing in land development.
Board;collective;Represents a group of people assembled for a specific purpose, often with governing or advisory roles.
Administrative Organization;subkind;A specialization of the kind 'Organization' focusing on administrative functions.
Technical Admnistrative Support;role;Represents a role combining technical skills with administrative support.
Server Allocation;subkind;Represents the act of assigning a 'Server' for a specific purpose.
Mobile Unit;subkind;Represents a specific type of 'Unit' characterized by its mobility.
Allocation Unit;subkind;A specialized type of 'Unit' designated for the purpose of allocation.
Occupied Position;subkind;A particular state of a 'Position' that is currently filled.
Occupational Structure;subkind;A specialization of the concept 'Structure',  focusing on the organization of occupations.
Allocated Department;subkind;Represents a 'Department' that has been assigned resources or responsibilities.
Position;kind;Represents a fundamental entity type, a job or post within an organization.
Animal Health Inspector;role;Represents the role of someone who inspects the health of animals.
Finalistico;role;Without further context, it's impossible to infer a specific meaning. 'Finalistico' might represent a role specific to the domain being modeled.
Central Office;subkind;A specific type of 'Office' serving as the primary location or headquarters.
Service Station;subkind;A specific type of 'Station' providing services.
Administrative Department;subkind;Represents a specific type of 'Department' handling administrative tasks.
Diagnostic Laboratory;subkind;Represents a specific type of 'Laboratory' focused on diagnosis.
Structure;kind;Represents a fundamental entity type, the arrangement of and relations between the parts of something complex.
Advisory;role;Represents a role focused on providing advice or guidance.
Ancillary Server;subkind;A specific type of 'Server' providing supplementary or auxiliary functions.
Administrative Support;role;Represents a role providing assistance with administrative tasks.
Section;subkind;Represents a distinct part or subdivision of something, often within an organization.
Department;kind;Represents a fundamental entity type, a division of a large organization.
Local Office;subkind;Represents a specific type of 'Office' serving a particular geographic area.
Operational Structure;subkind;A specialization of 'Structure', focusing on aspects related to operations.
Organization;kind;Represents a fundamental entity type, a group of people with a particular purpose.
Border Station;subkind;A specific type of 'Station' located at a border or boundary.
Regional Office;subkind;A specific type of 'Office' serving a particular region.
name;inferred_stereotype;explanation
Handling;kind;It represents a fundamental sort of endurant type, it represents the concept of handling an aircraft, encompassing various aspects and instances related to the process.
Object;category;It represents a very broad concept and can be considered a rigid type that defines essential properties for a wide range of entities.
Event;event;It directly maps to the ontoUML stereotype representing occurrences that happen in time.
Data;category;It represents a broad concept encompassing various forms of information, exhibiting properties common to different data types.
Landing;kind;It is a fundamental sort of entity representing a specific stage or phase in the operation of aircraft.
Flight;kind;Represents a fundamental sort of endurant type, encompassing specific instances and characteristics associated with aircraft journeys.
Accident;kind;Represents a fundamental concept, a specific and distinguishable type of occurrence, in this case, an undesirable event.
Ground Object;kind;Represents a fundamental sort of endurant type, as it refers to distinct entities located on the ground within the aviation domain.
Agent;role;It represents the role that some kinds of entities can assume, for example, a Person can assume the role of Agent in an aviation context.
Aircraft Part-i;kind;Represents a fundamental sort of entity, referring to distinct physical components that constitute an aircraft.
Aerodrome;kind;Represents a fundamental sort of endurant type, as it refers to a specific type of location designed for aircraft operations.
Cabin Crew;collective;It represents a collection of individuals, 'Cabin Crew Member', that work together in a flight.
Aircraft;kind;Represents a fundamental sort of endurant type, as it refers to a specific type of vehicle designed for air travel.
Crew;collective;It represents a group of individuals working together in a flight, usually composed by 'Cabin Crew' and 'Flight Crew'.
Spatial Object;category;It represents a broad concept encompassing entities defined by their spatial properties and relations.
Action;perdurant;It doesn't completely fit as an Event but still represents something that happens over a period of time.
Vehicle;kind;Represents a fundamental sort of endurant type that can be instantiated by several other individuals, for example, Car, Airplane, Motorcycle.
Aerodrome Part;kind;Represents a fundamental sort of endurant type, referring to distinct components that constitute an aerodrome.
Technical System;category;Represents a high-level concept encompassing various systems designed and engineered for specific purposes, often characterized by their technical complexity.
Trope;category;It's a philosophical concept that can be applied to many other concepts.
Physical Object;category;Represents a broad class of entities characterized by their physical existence and properties, encompassing both natural and man-made objects.
name;inferred_stereotype;explanation
DeclaredProvenance;kind;Represents a fundamental type of provenance information, thus classified as a kind.
Provider;role;Represents a role that someone or something can play in a transaction or process.
Consumer;role;Represents a role that someone or something can play in a transaction or process.
DeclaredValue;kind;Represents a fundamental type of value that can be declared, thus classified as a kind.
ConsumerNeed;kind;Represents a fundamental concept of a need that a consumer has, thus classified as a kind.
Payment;kind;Represents a fundamental concept of a financial transaction, thus classified as a kind.
Receipt;kind;Represents a fundamental document that acknowledges a transaction, thus classified as a kind.
Production;kind;Represents a fundamental process of creating or manufacturing something, thus classified as a kind.
RawProduct;kind;Represents a fundamental type of product that is unprocessed or minimally processed, thus classified as a kind.
CounterObject;kind;Represents a fundamental concept of an object that can be counted or quantified, thus classified as a kind.
ProvenanceEvaluation;kind;Represents a fundamental process of assessing or analyzing provenance information, thus classified as a kind.
Purchase;kind;Represents a fundamental type of transaction involving the buying of something, thus classified as a kind.
Policy;kind;Represents a fundamental set of rules or guidelines, thus classified as a kind.
Provenance;kind;Represents a fundamental concept of the origin or history of something, thus classified as a kind.
ValueObject;category;Represents a common characteristic of objects that hold value. It is not restricted to a specific type of value, thus classified as a category.
GeographicIndication;kind;Represents a fundamental type of indication that identifies the geographical origin of a product, thus classified as a kind.
Sale;kind;Represents a fundamental type of transaction involving the selling of something, thus classified as a kind.
Actor;role;Represents a role that someone or something can play in an activity or event.
ValueActivity;kind;Represents a fundamental type of activity that involves or influences value, thus classified as a kind.
Agent;role;Represents a role of something or someone that acts or has the power to act.
BusinessNeed;kind;Represents a fundamental concept of a need that a business has, thus classified as a kind.
EndProduct;kind;Represents a fundamental type of product that is finished and ready for use, thus classified as a kind.
name;inferred_stereotype;explanation
Consumer;kind;It represents a fundamental type of entity that consumes goods or services.
User;subkind;It represents a specialization of the kind 'Consumer', referring to individuals who use a particular system or service.
Consumer Person;subkind;It represents a specialization of both 'Consumer' and 'Person', indicating individuals who consume goods or services.
Uncertain Event;event;It represents an event with an uncertain outcome or occurrence time.
IaaS Environment;kind;It represents a fundamental type of entity that provides Infrastructure as a Service.
Software;kind;It represents a fundamental type of digital entity.
Administrative Vulnerability;kind;It represents a fundamental type of vulnerability related to administrative processes and policies.
Contract;kind;It represents a fundamental type of legal agreement.
Agreed Function;kind;It represents a fundamental type of function that has been agreed upon.
IT Service;kind;It represents a fundamental type of service provided in the IT domain.
IT Service Provider;kind;It represents a fundamental type of entity that provides IT services.
Incident;event;It represents an event that disrupts normal operations.
Threat;kind;It represents a fundamental type of entity that poses a potential risk.
Data Storage;kind;It represents a fundamental type of entity used to store data.
Technical Vulnerability;kind;It represents a fundamental type of vulnerability related to technical aspects of a system or software.
Hardware;kind;It represents a fundamental type of physical component of a computing system.
Occurrence;event;It represents an instance of an event.
Vulnerability;kind;It represents a fundamental type of weakness that can be exploited.
IT Infrastructure;kind;It represents a fundamental type of infrastructure used for IT operations.
Provide Service;role;It represents a role played by an entity, typically a service provider.
Access Policy;kind;It represents a fundamental type of policy that governs access to resources.
Certain Event;event;It represents an event with a certain outcome or occurrence time.
Data Processing;kind;It represents a fundamental type of activity involving the manipulation of data.
Authentication;kind;It represents a fundamental type of security mechanism used to verify the identity of an entity.
Authorization;kind;It represents a fundamental type of security mechanism used to determine the permissions of an entity.
Availability;kind;It represents a fundamental type of aspect related to the accessibility of a system or service.
Event;type;It represents a general type that encompasses both certain and uncertain events.
Public Cloud;subkind;It represents a specialization of the kind 'Cloud', referring to cloud environments that are publicly accessible.
IaaS;subkind;It represents a specialization of the kind 'Cloud Service Model', referring specifically to Infrastructure as a Service.
Process;type;It represents a general type that encompasses a series of actions or steps.
Consumer Organization;subkind;It represents a specialization of both 'Consumer' and 'Organization', indicating organizations that consume goods or services.
IT Resource;kind;It represents a fundamental type of resource used in IT operations.
name;inferred_stereotype;explanation
Recommendation Version;phase;It represents a phase in the life cycle of a Recommendation.
Recommendation;kind;Represents a type of thing that can be recommended.
Concept Definition;kind;Represents a type of thing that defines a concept.
Concept Defining Recommendation;relator;Represents a relationship between a concept definition and a recommendation.
Publication;kind;Represents a type of thing that is published, like a research paper.
Indirectly Recommendation Referencing Recomendation;relator;Represents an indirect relationship between two recommendations that reference the same recommendation.
int;type;It is a primitive type representing integer numbers.
Referenced Concept;role;Represents a role that a concept can play in a recommendation.
Correct Concept;role;Represents a role that a concept can play in a recommendation.
Indirectly Recommendation Referenced Recomendation;relator;Represents an indirect relationship between two recommendations that reference the same recommendation.
Recommendation Referencing Recomendation;relator;Represents a relationship between two recommendations where one references the other.
Problematic Concetp;role;Represents a role that a concept can play in a recommendation.
char;type;It is a primitive type representing characters.
Concept;kind;Represents a type of thing that can be a concept.
Possibly Problematic Recommendation;role;Represents a role that a recommendation can play.
Problematic Recommendation;role;Represents a role that a recommendation can play.
Concept Referencing Recommendation;relator;Represents a relationship between a concept and a recommendation, where the concept references the recommendation.
Recommendation Referenced Recomendation;relator;Represents a relationship between two recommendations where one is referenced by the other.
name;inferred_stereotype;explanation
Instance Variable;mode;An instance variable represents a specific attribute or characteristic of an instance of a class. It holds a particular value that can vary from instance to instance. This concept aligns well with the notion of 'mode' in OntoUML, which represents a particularized property that is not conceived as a value in a conceptual space. For instance, the color of a car (an instance of the class Car) would be an instance variable, and 'color' itself, as a property that can have different values like 'red,' 'blue,' or 'green,' would be considered a 'mode.'
Class;kind;In object-oriented programming, a 'class' is a blueprint for creating objects, which are instances of the class. It defines a set of attributes and methods that characterize the objects created from it.  This closely resembles the concept of 'kind' in OntoUML, which represents a fundamental sort of entity type.  For example, a 'Car' class would be a 'kind' as it defines the blueprint for creating individual car objects, each with its own specific properties like color, model, and make.
Subclass;subkind;A 'subclass' is a specialized version of a 'class' that inherits properties and methods from its parent class while potentially adding its own unique characteristics. This aligns with the 'subkind' stereotype in OntoUML. For instance, if 'Car' is a 'kind,' then 'ElectricCar' could be a 'subkind' as it inherits the general properties of a car but adds specific features related to being electric, like battery capacity.
Table;kind;In the context of databases, a 'table' represents a collection of related data organized in rows and columns.  Each row in a table corresponds to a unique record, and each column represents a specific attribute. Given its role as a fundamental building block for storing and organizing data, 'table' can be considered a 'kind' in OntoUML. For example, a 'Customers' table in a database would be a 'kind' as it represents the concept of customers and their associated information.
Variable Mapping;relator;'Variable Mapping' suggests a connection or correspondence between variables. This aligns with the 'relator' stereotype, which represents an entity that establishes a relationship between two or more other entities. In this context, 'Variable Mapping' acts as the 'relator' that links or maps variables to each other. For instance, in a programming scenario, a variable representing a customer's name in one part of the code might be mapped to a variable representing the same customer's name in a different part of the code, and this mapping relationship is what 'Variable Mapping' represents.
Entity Table;kind;An 'Entity Table' in database design typically represents a table that stores information about a specific entity or concept within the system being modeled. Since it serves as a fundamental structure for representing a distinct entity type, it aligns with the concept of 'kind' in OntoUML. For instance, in a database for an e-commerce platform, a 'Products' entity table would be considered a 'kind' as it represents the concept of 'products' and their associated attributes.
Table per Concrete Class Inheritance Mapping;relator;'Table per Concrete Class Inheritance Mapping' points towards a specific database inheritance mapping strategy. This strategy is about establishing a relationship between concrete classes and database tables. Considering its role in connecting these elements, 'Table per Concrete Class Inheritance Mapping' can be categorized as a 'relator' in OntoUML.
Inheritance Mapping;relator;'Inheritance Mapping,' as the term suggests, deals with representing inheritance relationships, typically between classes, in a different context like a database. Given its function in connecting elements based on inheritance, 'Inheritance Mapping' acts as a 'relator' in the OntoUML framework.
Multiple Entities Table;kind;A 'Multiple Entities Table' suggests a table designed to store information about multiple types of entities.  While not a conventional database design approach, it still points towards a structure used for data organization.  In that sense, it can be considered a 'kind' in OntoUML. For instance, a table designed to store details of both 'Customers' and 'Suppliers' could be seen as a 'Multiple Entities Table.' 
Primary Key Column;mode;A 'Primary Key Column' is a column within a database table that uniquely identifies each row in that table. It represents a specific characteristic or attribute of the table itself, making it suitable to be classified as a 'mode' in OntoUML.  
Single Entity Table;kind;As the name suggests, a 'Single Entity Table' is designed to store information about a single type of entity. This aligns well with the 'kind' stereotype as it represents a fundamental entity type in the system. For example, a 'Customers' table intended to store data exclusively about customers would be a 'Single Entity Table.'
Many To One Relationship Mapping;relator;'Many To One Relationship Mapping' refers to a way of representing relationships between entities where multiple instances of one entity can be associated with a single instance of another entity. This mapping itself acts as the connector between these entities, hence categorized as a 'relator' in OntoUML.
One To Many Relationship Mapping;relator;Similar to 'Many To One Relationship Mapping,' 'One To Many Relationship Mapping' also represents a way of mapping relationships between entities. It signifies that a single instance of an entity can be linked to multiple instances of another entity. As it connects entities based on a relationship, it fits the definition of a 'relator.'
Spuerclass;kind;While potentially a typo for 'Superclass,' the intended meaning likely refers to a class higher in the inheritance hierarchy. 'Superclass' acts as a general blueprint for its subclasses, aligning with the concept of 'kind' in OntoUML.  For instance, 'Vehicle' could be a 'Superclass' for 'Car' and 'Motorcycle.'
Mapped Foreign Key;mode;A 'Mapped Foreign Key' usually refers to a foreign key column in a database table that has been mapped to a primary key column in another table. This mapping is a characteristic of the foreign key itself, indicating how it relates to another table. Therefore, it's fitting to classify it as a 'mode' in OntoUML.
Entity Superclass;kind;An 'Entity Superclass' typically represents a superclass that defines common characteristics for entity subclasses. It acts as a fundamental entity type, making it suitable to be classified as a 'kind' in OntoUML.
Mapped Variable;mode;'Mapped Variable' likely refers to a variable that has been mapped to another entity, such as a column in a database table. This mapping is a specific characteristic of the variable, indicating its correspondence with another element. Therefore, it's appropriate to classify 'Mapped Variable' as a 'mode' in OntoUML.
Relationship Association Table;relator;A 'Relationship Association Table' is typically used in database design to represent a many-to-many relationship between entities. It acts as an intermediary table connecting these entities, making it suitable to be categorized as a 'relator' in OntoUML.
One To One Relationship Mapping;relator;Similar to other relationship mappings, 'One To One Relationship Mapping' denotes a way to represent a one-to-one relationship between entities.  It signifies that one instance of an entity is associated with only one instance of another entity. As it establishes a connection between entities, it falls under the 'relator' stereotype.
Relationship Mapping;relator;'Relationship Mapping,' in a general sense, refers to the process of representing relationships between entities in a system.  As it focuses on connections and associations between entities, it's categorized as a 'relator' in OntoUML.
